experiment,model,best_params,cv_best_roc_auc,threshold,test_auroc,test_auprc,test_accuracy,test_precision,test_recall,test_f1,test_brier,n_features
demographics,HistGradientBoosting,{},,0.184626013574388,0.7580672391214104,0.3064393993198073,0.7113233024691358,0.26157957244655583,0.635183850036049,0.37055730809674026,0.1041063123918227,4
demographics,XGBoost,{},,0.20770198106765747,0.7474088733509106,0.2910463008855368,0.7523148148148148,0.2745322642229859,0.5183850036049027,0.35896155766350474,0.10555697592267546,4
demographics,LightGBM,{},,0.6025545342311529,0.7562283413827171,0.30387155467142685,0.7234760802469136,0.26670870113493067,0.6099495313626532,0.3711340206185567,0.2065613722403732,4
vitals,HistGradientBoosting,{},,0.21619240133133036,0.7654432207960938,0.3635250235474251,0.8206018518518519,0.35947712418300654,0.43619322278298484,0.3941368078175896,0.10122296547762549,22
vitals,XGBoost,{},,0.28721919655799866,0.7443214855490405,0.3392191139967224,0.8390239197530864,0.38071065989847713,0.32444124008651765,0.3503308680420397,0.10538235771670686,22
vitals,LightGBM,{},,0.6071707399350418,0.7669211465974752,0.3630149335289447,0.8129822530864198,0.35224839400428265,0.47440519105984136,0.4043010752688172,0.17643554083080448,22
labs,HistGradientBoosting,{},,0.25676618233337295,0.8151558762161278,0.44105541874298726,0.8433641975308642,0.42105263157894735,0.4556596971881759,0.4376731301939058,0.09403971101332909,48
labs,XGBoost,{},,0.2912415564060211,0.8014548377263961,0.4182716259685751,0.8465470679012346,0.4204368174726989,0.3886085075702956,0.4038965904833271,0.09775199994823135,48
labs,LightGBM,{},,0.6399513178876051,0.8185750547478788,0.44841679855924244,0.8366126543209876,0.4103911266783421,0.5068493150684932,0.4535483870967742,0.16137323136077453,48
first_only,HistGradientBoosting,{},,0.24798319839727426,0.8279545852106107,0.4429597131455063,0.839795524691358,0.42242355605889015,0.5378514780100937,0.4732001268633048,0.09303292066919801,23
first_only,XGBoost,{},,0.3382737338542938,0.8136559139871267,0.4172156438964566,0.8580246913580247,0.46345657781599314,0.3886085075702956,0.42274509803921567,0.09646292090616494,23
first_only,LightGBM,{},,0.6616294993483989,0.8299738284307164,0.447367514920637,0.8386381172839507,0.4189342403628118,0.5328046142754146,0.4690574420818788,0.16047843613903848,23
summary_only,HistGradientBoosting,{},,0.28454343778107183,0.8579215578638455,0.5273180091045708,0.8664158950617284,0.5006756756756757,0.5342465753424658,0.5169166376002791,0.08557306102751244,53
summary_only,XGBoost,{},,0.34517306089401245,0.8439630263264264,0.5096120023341535,0.869116512345679,0.5127551020408163,0.43475126171593365,0.47054233320327743,0.08867744890132782,53
summary_only,LightGBM,{},,0.6866632931948278,0.8560656009598732,0.524623806584097,0.8619791666666666,0.4851951547779273,0.5198269646719539,0.5019143752175427,0.14360487521388943,53
full,HistGradientBoosting,{},,0.3083395810376389,0.8696605113719609,0.5401349408698982,0.8727816358024691,0.5244252873563219,0.5263157894736842,0.525368837711407,0.0837819839642406,74
full,XGBoost,{},,0.345672070980072,0.859609251189345,0.5240813537754068,0.8723958333333334,0.5251177394034537,0.4823359769286229,0.5028184892897407,0.08686253605801456,74
full,LightGBM,{},,0.6797332669482209,0.8709394269581533,0.5445644727218102,0.8645833333333334,0.49482653682288497,0.5861571737563086,0.5366336633663367,0.13609394974478678,74
