feature,importance,importance_type
num__anchor_age,622,feature_importances
num__spo2_mean,439,feature_importances
num__rr_mean,379,feature_importances
num__temp_mean,329,feature_importances
num__temp_max,298,feature_importances
num__hr_mean,284,feature_importances
num__sbp_mean,282,feature_importances
num__temp_min,257,feature_importances
num__wbc_max,256,feature_importances
num__bun_mean,252,feature_importances
num__spo2_min,223,feature_importances
num__sbp_min,222,feature_importances
num__hr_max,217,feature_importances
num__glucose_mean,214,feature_importances
num__na_max,209,feature_importances
num__anion_gap_mean,197,feature_importances
num__creatinine_mean,196,feature_importances
num__wbc_mean,191,feature_importances
num__na_mean,181,feature_importances
num__hgb_mean,176,feature_importances
num__cl_first,171,feature_importances
num__map_mean,168,feature_importances
num__glucose_first,167,feature_importances
num__temp_first,165,feature_importances
num__dbp_first,162,feature_importances
num__glucose_max,161,feature_importances
num__inr_mean,160,feature_importances
num__hgb_first,158,feature_importances
num__platelets_max,156,feature_importances
num__dbp_mean,152,feature_importances
num__creatinine_first,151,feature_importances
cat__first_careunit_Cardiac Vascular Intensive Care Unit (CVICU),148,feature_importances
num__ptt_min,146,feature_importances
num__sbp_first,145,feature_importances
num__ptt_max,145,feature_importances
num__ptt_mean,144,feature_importances
num__k_mean,140,feature_importances
num__wbc_first,139,feature_importances
num__hr_first,136,feature_importances
num__hgb_min,133,feature_importances
num__k_min,131,feature_importances
num__hgb_max,130,feature_importances
cat__first_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),129,feature_importances
num__hco3_mean,127,feature_importances
num__platelets_min,127,feature_importances
num__ptt_first,126,feature_importances
num__cl_mean,125,feature_importances
num__rr_first,121,feature_importances
cat__race_group_Unknown,116,feature_importances
num__map_min,113,feature_importances
num__platelets_first,110,feature_importances
num__bun_max,110,feature_importances
num__cl_max,108,feature_importances
num__rr_max,102,feature_importances
num__creatinine_max,98,feature_importances
num__anion_gap_max,96,feature_importances
num__hco3_min,91,feature_importances
num__anion_gap_min,89,feature_importances
num__spo2_first,88,feature_importances
num__platelets_mean,88,feature_importances
num__map_first,85,feature_importances
num__inr_min,82,feature_importances
cat__first_careunit_Coronary Care Unit (CCU),82,feature_importances
num__anion_gap_first,80,feature_importances
num__k_first,76,feature_importances
num__k_max,76,feature_importances
num__bun_first,74,feature_importances
num__hco3_first,71,feature_importances
num__dbp_min,69,feature_importances
num__hco3_max,63,feature_importances
num__inr_max,61,feature_importances
num__na_first,58,feature_importances
cat__first_careunit_Neuro Intermediate,58,feature_importances
num__na_min,56,feature_importances
cat__first_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),51,feature_importances
num__cl_min,50,feature_importances
cat__first_careunit_Surgical Intensive Care Unit (SICU),45,feature_importances
num__inr_first,41,feature_importances
cat__first_careunit_Medical Intensive Care Unit (MICU),21,feature_importances
cat__race_group_White,19,feature_importances
cat__race_group_Black,19,feature_importances
cat__gender_F,18,feature_importances
cat__first_careunit_Neuro Stepdown,16,feature_importances
cat__race_group_Other,9,feature_importances
cat__race_group_Hispanic,7,feature_importances
cat__first_careunit_Surgery/Vascular/Intermediate,6,feature_importances
cat__first_careunit_Trauma SICU (TSICU),5,feature_importances
cat__race_group_Asian,5,feature_importances
cat__gender_M,1,feature_importances
cat__first_careunit_Medicine,0,feature_importances
cat__first_careunit_Neurology,0,feature_importances
cat__first_careunit_PACU,0,feature_importances
cat__first_careunit_Surgery/Trauma,0,feature_importances
cat__first_careunit_Intensive Care Unit (ICU),0,feature_importances
cat__first_careunit_Medicine/Cardiology Intermediate,0,feature_importances
