variable,missing_rate
ptt_first,0.15307303522512442
ptt_mean,0.15307303522512442
ptt_min,0.15307303522512442
ptt_max,0.15307303522512442
inr_max,0.14701570276631043
inr_first,0.14701570276631043
inr_min,0.14701570276631043
inr_mean,0.14701570276631043
map_min,0.04112812994328485
temp_min,0.034086963231606156
temp_mean,0.03379760021605772
temp_max,0.03337320112658668
temp_first,0.03275589336008334
platelets_max,0.020371156294610133
platelets_mean,0.020371156294610133
platelets_min,0.020371156294610133
platelets_first,0.020371156294610133
hgb_mean,0.020274701956093984
hgb_min,0.020274701956093984
hgb_max,0.020274701956093984
hgb_first,0.020274701956093984
wbc_max,0.018943632084571164
wbc_first,0.018943632084571164
wbc_mean,0.018943632084571164
anion_gap_first,0.017361780932906364
anion_gap_max,0.017361780932906364
anion_gap_min,0.017361780932906364
anion_gap_mean,0.017361780932906364
k_max,0.016474401018557815
k_min,0.016474401018557815
k_mean,0.016474401018557815
k_first,0.016474401018557815
bun_mean,0.016146456267602916
bun_max,0.016146456267602916
bun_first,0.016146456267602916
hco3_max,0.01612716539989969
hco3_min,0.01612716539989969
hco3_first,0.01612716539989969
hco3_mean,0.01612716539989969
creatinine_first,0.015837802384351247
creatinine_mean,0.015837802384351247
creatinine_max,0.015837802384351247
na_min,0.01572205717813187
na_max,0.01572205717813187
na_first,0.01572205717813187
na_mean,0.01572205717813187
glucose_mean,0.01572205717813187
glucose_first,0.01572205717813187
glucose_max,0.01572205717813187
cl_min,0.015702766310428645
cl_mean,0.015702766310428645
cl_first,0.015702766310428645
cl_max,0.015702766310428645
dbp_min,0.015567730236506039
map_first,0.008796635672672557
sbp_min,0.008391527450904742
rr_first,0.007523438404259423
dbp_mean,0.006346695474362437
dbp_first,0.006095914194220456
map_mean,0.005690805972452641
sbp_mean,0.0052085342798719085
sbp_first,0.0052085342798719085
rr_max,0.0049577529997299275
spo2_min,0.00464909911647826
rr_mean,0.0036652648636135653
spo2_mean,0.0022184497858713684
spo2_first,0.0019097959026196998
hr_first,0.0016204328870712604
hr_max,0.0014275242100389674
hr_mean,0.0013310698715228212
anchor_age,0.0
icu_los_days,0.0
icu_los_hours,0.0
subject_id,0.0
stay_id,0.0
hadm_id,0.0
death_28d,0.0
gender,0.0
race_group,0.0
first_careunit,0.0
