model,calibration,risk_bin,n,observed_event_rate,mean_predicted_risk,min_predicted_risk,max_predicted_risk
HistGradientBoosting,uncalibrated,Q1,2074,0.00626808100289296,0.008520723271126697,0.002572106148944085,0.014254112170506235
HistGradientBoosting,uncalibrated,Q2,2073,0.016401350699469366,0.023848399108521615,0.014257239135072597,0.036535418540424275
HistGradientBoosting,uncalibrated,Q3,2074,0.052073288331726135,0.059134149623661085,0.03657259292677293,0.08949633920282155
HistGradientBoosting,uncalibrated,Q4,2073,0.1485769416304872,0.1440914187482733,0.089517592763624,0.22147628717254308
HistGradientBoosting,uncalibrated,Q5,2074,0.4455159112825458,0.42879785398094084,0.22148301151641972,0.9798601015484466
HistGradientBoosting,sigmoid,Q1,2074,0.00626808100289296,0.009671963197410094,0.0036210236086656454,0.01584138919258915
HistGradientBoosting,sigmoid,Q2,2073,0.013024602026049204,0.025862572960337046,0.015842151241041682,0.03898920411026375
HistGradientBoosting,sigmoid,Q3,2074,0.054966248794599805,0.06255347816674511,0.03899092410941482,0.09351989114741786
HistGradientBoosting,sigmoid,Q4,2073,0.14616497829232997,0.15035791304868043,0.0935210834469628,0.22607425885557106
HistGradientBoosting,sigmoid,Q5,2074,0.4484088717454195,0.42926582243778433,0.2261194999721201,0.9696164408852223
HistGradientBoosting,isotonic,Q1,2074,0.0057859209257473485,0.003919479481425627,0.0,0.009346581056294564
HistGradientBoosting,isotonic,Q2,2073,0.013506994693680656,0.022175129777685963,0.009346581056294564,0.03799677275593128
HistGradientBoosting,isotonic,Q3,2074,0.054966248794599805,0.0656861045259628,0.03817884779075306,0.09948317445000328
HistGradientBoosting,isotonic,Q4,2073,0.14664737095996142,0.15982497112871724,0.09948317445000328,0.23935412690090344
HistGradientBoosting,isotonic,Q5,2074,0.44792671166827386,0.4262965504686003,0.2395527603074773,1.0
XGBoost,uncalibrated,Q1,2074,0.00819672131147541,0.003216593060642481,0.00012549250095617026,0.006577664986252785
XGBoost,uncalibrated,Q2,2073,0.013989387361312108,0.013000698760151863,0.006587449461221695,0.022027693688869476
XGBoost,uncalibrated,Q3,2074,0.0626808100289296,0.03999049961566925,0.022044427692890167,0.06481543183326721
XGBoost,uncalibrated,Q4,2073,0.1548480463096961,0.11734648048877716,0.0648382306098938,0.20396676659584045
XGBoost,uncalibrated,Q5,2074,0.42912246865959497,0.4681091904640198,0.204366534948349,0.9989010095596313
XGBoost,sigmoid,Q1,2074,0.007714561234329798,0.05920697553836712,0.05834543378817888,0.060142940448760875
XGBoost,sigmoid,Q2,2073,0.013989387361312108,0.061997342922455505,0.06014325057419686,0.06480551148808977
XGBoost,sigmoid,Q3,2074,0.05689488910318226,0.07106574859587084,0.06480693719659046,0.08041800407252458
XGBoost,sigmoid,Q4,2073,0.15243608297153882,0.10699070393922976,0.08042479642891118,0.15648843391196773
XGBoost,sigmoid,Q5,2074,0.437801350048216,0.38028044130783106,0.1567014349765746,0.9023369946068941
XGBoost,isotonic,Q1,2074,0.006750241080038573,0.006397136903076814,0.0,0.014989907930915555
XGBoost,isotonic,Q2,2073,0.013989387361312108,0.028723428430178576,0.014989907930915555,0.045746062571803726
XGBoost,isotonic,Q3,2074,0.05785920925747348,0.07454409491846234,0.045746062571803726,0.10983846833308537
XGBoost,isotonic,Q4,2073,0.14905933429811866,0.16646630419131436,0.10988085965315501,0.2380435268084208
XGBoost,isotonic,Q5,2074,0.4411764705882353,0.39969834735499093,0.23820185164610544,1.0
LightGBM,uncalibrated,Q1,2074,0.007232401157184185,0.027667637552641938,0.005743744212588786,0.04940475385137315
LightGBM,uncalibrated,Q2,2073,0.013506994693680656,0.08991141346053685,0.0494347341483027,0.14492523478093614
LightGBM,uncalibrated,Q3,2074,0.05303760848601736,0.23553045722584764,0.14499422136254678,0.3448356720459841
LightGBM,uncalibrated,Q4,2073,0.15195369030390737,0.4796052819560466,0.34491102083724223,0.6199413893602723
LightGBM,uncalibrated,Q5,2074,0.44310511089681776,0.7699015954418309,0.6202132153178112,0.9858932904019815
LightGBM,sigmoid,Q1,2074,0.007232401157184185,0.016487573241855177,0.01465578835458699,0.01846571470051773
LightGBM,sigmoid,Q2,2073,0.0120598166907863,0.02280489438066554,0.018473252148960013,0.029659162117881905
LightGBM,sigmoid,Q3,2074,0.05255544840887175,0.04857292727926486,0.029661790013572862,0.08029913928882755
LightGBM,sigmoid,Q4,2073,0.1538832609744332,0.15107551391294258,0.0803146042867078,0.2519344848405539
LightGBM,sigmoid,Q5,2074,0.44310511089681776,0.4354502561463638,0.2519506818529867,0.717305889407509
LightGBM,isotonic,Q1,2074,0.007232401157184185,0.004028211747037921,0.0,0.009436798226728264
LightGBM,isotonic,Q2,2073,0.012542209358417752,0.021208313068878975,0.009436798226728264,0.03629304207249257
LightGBM,isotonic,Q3,2074,0.05544840887174542,0.06258578333752987,0.03629304207249257,0.10249178837731399
LightGBM,isotonic,Q4,2073,0.1485769416304872,0.16360621145283744,0.10249178837731399,0.23647377900257352
LightGBM,isotonic,Q5,2074,0.4450337512054002,0.4235023107063442,0.23647377900257352,1.0
