model,display_feature,top10_count,n_repeats,stability_rate,sample_size
XGBoost,anchor_age,3,3,1.0,300
XGBoost,anion_gap_mean,3,3,1.0,300
XGBoost,bun_max,3,3,1.0,300
XGBoost,bun_mean,3,3,1.0,300
XGBoost,cl_first,3,3,1.0,300
XGBoost,first_careunit_CVICU,3,3,1.0,300
XGBoost,race_group_Unknown,3,3,1.0,300
XGBoost,rr_mean,3,3,1.0,300
XGBoost,spo2_mean,3,3,1.0,300
XGBoost,spo2_min,3,3,1.0,300
LightGBM,anchor_age,3,3,1.0,300
LightGBM,anion_gap_mean,3,3,1.0,300
LightGBM,bun_max,3,3,1.0,300
LightGBM,bun_mean,3,3,1.0,300
LightGBM,cl_first,3,3,1.0,300
LightGBM,first_careunit_CVICU,3,3,1.0,300
LightGBM,race_group_Unknown,3,3,1.0,300
LightGBM,rr_mean,3,3,1.0,300
LightGBM,spo2_mean,3,3,1.0,300
LightGBM,spo2_min,3,3,1.0,300
