variable,level,survivor_group,death_28d_group
anchor_age,,62.79 +/- 16.62,70.36 +/- 15.25
hr_first,,86.77 +/- 19.48,93.00 +/- 21.89
hr_mean,,83.67 +/- 15.28,89.16 +/- 17.75
hr_max,,102.20 +/- 19.89,110.08 +/- 23.10
rr_first,,18.46 +/- 5.90,21.07 +/- 6.56
rr_mean,,18.74 +/- 3.60,20.88 +/- 4.49
rr_max,,27.58 +/- 6.33,29.83 +/- 6.91
spo2_first,,97.35 +/- 3.38,96.20 +/- 4.63
spo2_mean,,96.97 +/- 1.87,96.47 +/- 2.85
spo2_min,,92.20 +/- 4.51,90.25 +/- 7.05
sbp_first,,124.87 +/- 24.07,122.07 +/- 26.19
sbp_mean,,119.00 +/- 15.73,115.44 +/- 17.22
sbp_min,,92.78 +/- 16.10,87.56 +/- 17.99
dbp_first,,69.08 +/- 17.44,68.66 +/- 19.20
dbp_mean,,64.16 +/- 11.30,62.02 +/- 11.22
dbp_min,,47.92 +/- 10.89,44.75 +/- 11.14
map_first,,84.98 +/- 17.75,83.06 +/- 19.48
map_mean,,79.66 +/- 11.10,76.94 +/- 11.48
map_min,,61.66 +/- 11.56,58.00 +/- 12.01
temp_first,,36.69 +/- 0.76,36.57 +/- 1.04
temp_mean,,36.86 +/- 0.50,36.75 +/- 0.78
temp_min,,36.35 +/- 0.62,36.16 +/- 0.92
temp_max,,37.38 +/- 0.66,37.34 +/- 0.94
wbc_first,,12.11 +/- 10.46,14.93 +/- 17.00
wbc_mean,,12.15 +/- 9.10,15.07 +/- 14.57
wbc_max,,14.70 +/- 16.52,19.68 +/- 27.06
hgb_first,,10.95 +/- 2.26,10.49 +/- 2.40
hgb_mean,,10.83 +/- 2.03,10.37 +/- 2.18
hgb_min,,10.31 +/- 2.29,9.86 +/- 2.36
hgb_max,,11.43 +/- 2.02,10.87 +/- 2.23
platelets_first,,203.33 +/- 100.18,202.97 +/- 120.75
platelets_mean,,201.14 +/- 96.02,197.02 +/- 116.56
platelets_min,,189.69 +/- 95.64,183.99 +/- 114.56
platelets_max,,212.89 +/- 99.08,210.93 +/- 121.66
na_first,,138.32 +/- 4.85,138.20 +/- 6.66
na_mean,,138.30 +/- 4.40,138.59 +/- 6.28
na_min,,137.28 +/- 4.73,137.01 +/- 6.36
na_max,,139.29 +/- 4.53,140.09 +/- 6.76
k_first,,4.18 +/- 0.68,4.31 +/- 0.86
k_mean,,4.17 +/- 0.54,4.28 +/- 0.68
k_min,,3.96 +/- 0.54,3.99 +/- 0.68
k_max,,4.40 +/- 0.70,4.60 +/- 0.87
cl_first,,104.64 +/- 6.18,102.91 +/- 7.70
cl_mean,,104.54 +/- 5.54,103.42 +/- 7.42
cl_min,,103.26 +/- 5.68,101.76 +/- 7.46
cl_max,,105.81 +/- 5.85,105.04 +/- 7.90
hco3_first,,22.90 +/- 4.17,21.62 +/- 5.55
hco3_mean,,23.17 +/- 3.79,21.69 +/- 5.22
hco3_min,,22.26 +/- 4.19,20.42 +/- 5.73
hco3_max,,24.04 +/- 3.75,22.95 +/- 5.06
creatinine_first,,1.27 +/- 1.47,1.73 +/- 1.52
creatinine_mean,,1.26 +/- 1.39,1.75 +/- 1.48
creatinine_max,,1.35 +/- 1.53,1.89 +/- 1.61
bun_first,,22.59 +/- 18.94,36.22 +/- 27.23
bun_mean,,22.28 +/- 18.20,36.46 +/- 26.71
bun_max,,23.69 +/- 19.54,38.70 +/- 28.18
glucose_first,,145.94 +/- 78.58,160.63 +/- 101.16
glucose_mean,,140.30 +/- 52.75,153.71 +/- 69.83
glucose_max,,167.95 +/- 104.10,189.25 +/- 136.34
anion_gap_first,,13.69 +/- 4.02,16.20 +/- 5.20
anion_gap_mean,,13.36 +/- 3.38,15.95 +/- 4.77
anion_gap_min,,12.34 +/- 3.33,14.43 +/- 4.37
anion_gap_max,,14.43 +/- 4.00,17.53 +/- 5.76
inr_first,,1.42 +/- 0.71,1.72 +/- 1.07
inr_mean,,1.37 +/- 0.59,1.69 +/- 0.96
inr_min,,1.31 +/- 0.51,1.58 +/- 0.81
inr_max,,1.45 +/- 0.76,1.84 +/- 1.26
ptt_first,,36.27 +/- 22.06,42.81 +/- 28.22
ptt_mean,,35.67 +/- 17.34,42.75 +/- 23.46
ptt_min,,31.67 +/- 12.34,36.28 +/- 17.16
ptt_max,,40.36 +/- 26.90,50.16 +/- 35.29
gender,F,19085 (42.50%),3218 (46.40%)
,M,25818 (57.50%),3717 (53.60%)
race_group,Asian,1342 (2.99%),201 (2.90%)
,Black,4055 (9.03%),513 (7.40%)
,Hispanic,1637 (3.65%),172 (2.48%)
,Other,2366 (5.27%),261 (3.76%)
,Unknown,5782 (12.88%),1573 (22.68%)
,White,29721 (66.19%),4215 (60.78%)
first_careunit,Cardiac Vascular Intensive Care Unit (CVICU),10294 (22.92%),322 (4.64%)
,Coronary Care Unit (CCU),4868 (10.84%),874 (12.60%)
,Intensive Care Unit (ICU),11 (0.02%),10 (0.14%)
,Med/Surg,1 (0.00%),0 (0.00%)
,Medical Intensive Care Unit (MICU),7315 (16.29%),1957 (28.22%)
,Medical/Surgical Intensive Care Unit (MICU/SICU),5971 (13.30%),1473 (21.24%)
,Medicine,11 (0.02%),2 (0.03%)
,Medicine/Cardiology Intermediate,1 (0.00%),0 (0.00%)
,Neuro Intermediate,3464 (7.71%),171 (2.47%)
,Neuro Stepdown,789 (1.76%),42 (0.61%)
,Neuro Surgical Intensive Care Unit (Neuro SICU),725 (1.61%),366 (5.28%)
,Neurology,1 (0.00%),0 (0.00%)
,PACU,40 (0.09%),10 (0.14%)
,Surgery/Trauma,4 (0.01%),2 (0.03%)
,Surgery/Vascular/Intermediate,68 (0.15%),27 (0.39%)
,Surgical Intensive Care Unit (SICU),6146 (13.69%),947 (13.66%)
,Trauma SICU (TSICU),5194 (11.57%),732 (10.56%)
