variable,missing_rate
ptt_first,0.229706390328152
inr_first,0.21070811744386875
map_min,0.04317789291882556
hgb_first,0.02936096718480138
platelets_first,0.02936096718480138
wbc_mean,0.027633851468048358
wbc_first,0.027633851468048358
wbc_max,0.027633851468048358
anion_gap_first,0.022452504317789293
dbp_min,0.02072538860103627
cl_first,0.017271157167530225
k_first,0.017271157167530225
hco3_first,0.015544041450777202
bun_first,0.015544041450777202
creatinine_first,0.015544041450777202
na_first,0.015544041450777202
glucose_first,0.015544041450777202
glucose_mean,0.015544041450777202
bun_max,0.015544041450777202
bun_mean,0.015544041450777202
glucose_max,0.015544041450777202
creatinine_mean,0.015544041450777202
creatinine_max,0.015544041450777202
sbp_min,0.0069084628670120895
dbp_first,0.0069084628670120895
map_first,0.0069084628670120895
map_mean,0.0069084628670120895
rr_max,0.0034542314335060447
sbp_mean,0.0034542314335060447
dbp_mean,0.0034542314335060447
rr_first,0.0034542314335060447
sbp_first,0.0034542314335060447
rr_mean,0.0017271157167530224
spo2_min,0.0
spo2_mean,0.0
spo2_first,0.0
hr_max,0.0
prolonged_icu_los,0.0
anchor_age,0.0
hr_first,0.0
hr_mean,0.0
icu_los_days,0.0
icu_los_hours,0.0
stay_id,0.0
hadm_id,0.0
subject_id,0.0
gender,0.0
race_group,0.0
first_careunit,0.0
