variable,level,non_prolonged_group,prolonged_group
anchor_age,,81.25 +/- 8.26,78.55 +/- 10.14
hr_first,,87.13 +/- 21.07,87.94 +/- 21.02
hr_mean,,82.51 +/- 16.70,81.70 +/- 14.87
hr_max,,103.03 +/- 22.11,105.05 +/- 22.24
rr_first,,20.11 +/- 5.85,19.98 +/- 5.00
rr_mean,,19.60 +/- 3.95,20.04 +/- 3.94
rr_max,,28.56 +/- 6.28,29.34 +/- 5.75
spo2_first,,96.71 +/- 4.27,96.48 +/- 4.23
spo2_mean,,96.75 +/- 2.06,97.29 +/- 1.74
spo2_min,,90.63 +/- 6.64,91.00 +/- 5.26
sbp_first,,126.60 +/- 23.87,127.21 +/- 28.17
sbp_mean,,120.18 +/- 15.85,120.92 +/- 15.95
sbp_min,,91.19 +/- 16.99,89.05 +/- 15.48
dbp_first,,69.44 +/- 19.90,72.85 +/- 20.03
dbp_mean,,62.48 +/- 10.91,62.53 +/- 9.48
dbp_min,,44.49 +/- 10.87,45.15 +/- 10.39
map_first,,84.96 +/- 19.91,87.21 +/- 20.00
map_mean,,77.82 +/- 10.98,80.29 +/- 10.72
map_min,,58.63 +/- 11.53,58.42 +/- 11.83
wbc_first,,14.05 +/- 19.19,15.96 +/- 15.96
wbc_mean,,13.75 +/- 16.86,14.98 +/- 11.52
wbc_max,,17.20 +/- 32.40,19.68 +/- 23.06
hgb_first,,10.78 +/- 2.05,11.29 +/- 2.00
platelets_first,,206.70 +/- 91.74,231.54 +/- 108.35
na_first,,141.94 +/- 8.02,140.84 +/- 8.16
k_first,,4.19 +/- 0.74,4.03 +/- 0.71
cl_first,,107.63 +/- 8.55,106.05 +/- 8.65
hco3_first,,22.81 +/- 4.40,22.02 +/- 4.14
creatinine_first,,1.32 +/- 1.09,1.21 +/- 0.81
creatinine_mean,,1.31 +/- 1.07,1.21 +/- 0.78
creatinine_max,,1.38 +/- 1.14,1.29 +/- 0.85
bun_first,,31.00 +/- 24.44,28.38 +/- 23.51
bun_mean,,30.24 +/- 23.52,27.83 +/- 22.00
bun_max,,31.90 +/- 24.77,29.66 +/- 23.77
glucose_first,,156.40 +/- 105.49,158.46 +/- 89.52
glucose_mean,,144.79 +/- 65.63,146.63 +/- 53.82
glucose_max,,173.51 +/- 125.04,173.18 +/- 100.35
anion_gap_first,,14.24 +/- 3.68,14.79 +/- 3.77
inr_first,,1.38 +/- 0.68,1.43 +/- 0.66
ptt_first,,35.46 +/- 23.29,35.61 +/- 20.03
gender,F,280 (54.16%),38 (61.29%)
,M,237 (45.84%),24 (38.71%)
race_group,Asian,12 (2.32%),3 (4.84%)
,Black,59 (11.41%),11 (17.74%)
,Hispanic,14 (2.71%),2 (3.23%)
,Other,18 (3.48%),3 (4.84%)
,Unknown,56 (10.83%),11 (17.74%)
,White,358 (69.25%),32 (51.61%)
first_careunit,Cardiac Vascular Intensive Care Unit (CVICU),35 (6.77%),2 (3.23%)
,Coronary Care Unit (CCU),51 (9.86%),6 (9.68%)
,Medical Intensive Care Unit (MICU),140 (27.08%),17 (27.42%)
,Medical/Surgical Intensive Care Unit (MICU/SICU),109 (21.08%),5 (8.06%)
,Neuro Intermediate,33 (6.38%),11 (17.74%)
,Neuro Stepdown,10 (1.93%),0 (0.00%)
,Neuro Surgical Intensive Care Unit (Neuro SICU),22 (4.26%),3 (4.84%)
,PACU,0 (0.00%),1 (1.61%)
,Surgery/Vascular/Intermediate,0 (0.00%),2 (3.23%)
,Surgical Intensive Care Unit (SICU),61 (11.80%),6 (9.68%)
,Trauma SICU (TSICU),56 (10.83%),9 (14.52%)
